sub_num,file_name,trial_num,rt,response,t_direction,accuracy
1,scenes\pexels-curtis-adams-8583875.jpg,1,2018,z,L,1
1,scenes\pexels-curtis-adams-4839334.jpg,2,1040,z,L,1
1,scenes\pexels-max-rahubovskiy-6980568.jpg,3,968,z,R,0
1,scenes\pexels-curtis-adams-4258272.jpg,4,2319,z,R,0
