fixDuration,previousFixationRect,trialNum,thisTrialExtraTarget,thisTrialIncorrectTargetLocation,targetInds,targetPositionInds
179.602200001682,4,1,0,0,8,1
288.101599999209,3,1,0,0,8,1
2261.50179999968,1,1,0,0,8,1
147.009200001776,2,2,0,0,18,4
95.0126000025193,3,2,0,0,18,4
461.98110000114,4,2,0,0,18,4
122.043999999732,4,3,0,0,1,4
600.488899999618,4,3,0,0,1,4
208.054399998218,4,4,0,0,10,3
195.10420000006,3,4,0,0,10,3
58.0147999971814,3,4,0,0,10,3
426.029199999903,1,5,0,0,1,3
261.010899997927,4,5,0,0,1,3
957.686400000966,3,5,0,0,1,3
318.007000001671,3,6,0,0,18,2
69.9380999976711,4,6,0,0,18,2
104.963900001167,4,6,0,0,18,2
213.904799999,2,6,0,0,18,2
576.300400000036,2,6,0,0,18,2
113.997500000551,2,7,0,0,8,4
162.04529999959,1,7,0,0,8,4
194.014799999422,3,7,0,0,8,4
575.045300000056,4,7,0,0,8,4
133.189299998776,1,8,0,0,10,2
127.947299999505,1,9,0,0,1,4
683.959999998478,4,9,0,0,1,4
146.925200002443,2,10,0,0,8,2
131.998599998042,3,11,0,0,18,1
209.013600000617,1,12,0,0,10,3
301.905899999838,4,12,0,0,10,3
157.045200001448,2,12,0,0,10,3
201.03680000102,3,12,0,0,10,3
489.627300001303,3,12,0,0,10,3
179.953199996817,1,13,0,0,1,2
390.354700000898,2,13,0,0,1,2
503.959000001487,3,14,0,0,10,3
159.002100001089,3,15,0,0,8,1
190.029899997171,2,15,0,0,8,1
123.054800002137,1,15,0,0,8,1
169.920399999683,2,15,0,0,8,1
494.183599999815,1,15,0,0,8,1
215.945500000089,1,16,0,0,18,4
135.952399999951,4,16,0,0,18,4
384.899100001348,4,16,0,0,18,4
127.949499998067,4,18,0,0,1,4
538.561699999264,2,19,0,0,10,2
280.015500000445,1,20,0,0,18,4
278.013699997246,3,20,0,0,18,4
629.613799999788,4,20,0,0,18,4
292.999400000554,3,21,0,0,8,4
177.947399999539,1,21,0,0,8,4
180.010700001731,2,21,0,0,8,4
639.037000000826,4,21,0,0,8,4
338.974099999177,2,22,0,0,1,2
55.4733000026317,2,22,0,0,1,2
125.059800000599,1,23,0,0,10,3
187.988699999551,4,23,0,0,10,3
631.166200000735,3,23,0,0,10,3
227.875500000664,3,24,0,0,18,1
92.021599997679,4,24,0,0,18,1
607.345599997643,1,24,0,0,18,1
