fixDuration,previousFixationRect,trialNum,thisTrialExtraTarget,thisTrialIncorrectTargetLocation,targetInds,targetPositionInds
163.81999999976,3,1,0,0,4,2
111.965000000055,4,1,0,0,4,2
135.893800000304,1,2,0,0,7,2
168.019799999456,3,2,0,0,7,2
392.009099999996,2,2,0,0,7,2
169.945300000109,4,3,0,0,20,3
188.05010000051,1,3,0,0,20,3
322.011000000202,3,3,0,0,20,3
137.810999999601,1,3,0,0,20,3
276.0016000002,4,4,0,0,8,4
200.000800000453,4,5,0,0,4,4
54.0534000001571,3,6,0,0,7,4
60.0823000004311,4,6,0,0,7,4
241.820999999618,4,6,0,0,7,4
172.036199999638,2,7,0,0,20,3
321.822800000518,4,7,0,0,20,3
295.189499999651,1,8,0,0,8,1
109.97320000024,2,9,0,0,7,2
266.879600000721,2,10,0,0,20,2
201.993499999844,1,11,0,0,4,3
263.929800000369,3,11,0,0,4,3
124.545099999523,3,11,0,0,4,3
514.753500000552,2,12,0,0,8,2
400.551599999744,3,13,0,0,20,3
284.520299999713,4,14,0,0,4,4
434.373400000368,1,15,0,0,7,1
392.070400000193,2,16,0,0,8,4
370.390699999916,4,16,0,0,8,4
106.039799999962,3,17,0,0,7,2
113.970999999765,2,17,0,0,7,2
284.221400000206,2,17,0,0,7,2
110.022599999866,1,18,0,0,4,3
235.960500000147,3,18,0,0,4,3
256.270700000641,2,19,0,0,20,2
86.0684999997829,3,20,0,0,8,4
190.076300000328,2,20,0,0,8,4
527.850099999341,4,20,0,0,8,4
191.930199999661,1,21,0,0,7,2
207.283100000495,3,21,0,0,7,2
329.549999999472,2,21,0,0,7,2
450.023500000498,1,22,0,0,8,1
322.040000000015,1,23,0,0,4,3
157.959999999548,3,24,0,0,20,1
