fixDuration,previousFixationRect,trialNum,thisTrialExtraTarget,thisTrialIncorrectTargetLocation,targetInds,targetPositionInds
335.504100000435,4,1,1,1,3,4
54.0243999994345,1,2,0,0,20,1
217.958799999906,1,2,0,0,20,1
181.955000000016,3,3,1,0,15,4
182.019200000468,1,4,0,1,14,3
328.732400000263,3,4,0,1,14,3
124.007899999924,1,5,1,0,14,1
246.006499999567,1,5,1,0,14,1
393.997600000148,3,7,0,0,20,3
169.977999999901,2,8,1,0,15,3
379.965400000401,3,8,1,0,15,3
176.053700000011,1,9,1,1,15,1
423.96269999972,3,10,0,0,3,3
74.0571999995154,4,11,0,0,14,1
432.141799999954,1,11,0,0,14,1
66.0328000003574,3,12,1,0,20,4
52.0481000003201,3,12,1,0,20,4
342.072100000223,4,12,1,0,20,4
182.017999999516,2,13,1,0,3,2
314.069799999743,2,14,1,0,15,2
277.964100000645,3,15,0,1,20,3
272.033299999748,3,16,0,0,14,2
228.084300000774,2,16,0,0,14,2
137.988299999961,4,16,0,0,14,2
55.9415000006993,1,16,0,0,14,2
577.984800000195,3,16,0,0,14,2
73.3440999993036,2,16,0,0,14,2
387.984799999685,1,18,0,0,14,1
343.967200000407,3,19,0,0,3,3
147.958800000197,3,20,0,0,20,3
210.868699999992,3,20,0,0,20,3
160.951300000306,1,21,0,1,3,1
117.98490000001,4,22,1,0,15,4
194.893099999717,4,22,1,0,15,4
149.983400000565,4,23,1,0,20,1
458.102200000212,1,23,1,0,20,1
282.182299999477,2,24,1,1,14,4
332.375599999978,4,24,1,1,14,4
924.535199999809,1,25,1,0,14,1
69.9475999999777,4,26,1,0,3,4
352.210400000331,2,27,0,1,15,2
310.042099999919,2,28,0,0,20,2
472.007100000155,3,31,1,1,14,3
211.958799999593,3,32,0,0,15,1
413.967299999968,2,32,0,0,15,1
211.913299999651,4,32,0,0,15,1
210.087499999645,1,32,0,0,15,1
143.69699999952,3,32,0,0,15,1
156.019500000184,1,33,0,0,15,1
274.035000000367,4,34,1,0,3,4
134.023900000102,2,35,1,1,20,3
178.041300000586,3,35,1,1,20,3
50.0216000000364,3,35,1,1,20,3
250.028200000088,4,36,0,0,14,3
1659.14940000039,3,36,0,0,14,3
490.015899999889,4,37,0,1,15,4
125.960500000474,1,38,0,0,3,2
55.9309000000212,1,41,1,0,3,2
72.0342999993591,1,41,1,0,3,2
57.9986999991888,4,41,1,0,3,2
57.9680000000735,4,41,1,0,3,2
221.999700000197,4,41,1,0,3,2
119.971200000691,3,42,1,0,15,4
128.010999999788,2,42,1,0,15,4
349.939400000039,4,42,1,0,15,4
224.384299999656,2,42,1,0,15,4
83.9654999999766,2,43,0,0,14,1
396.032600000581,1,43,0,0,14,1
528.160799999569,2,44,0,0,20,2
201.983599999949,1,47,1,1,14,2
240.033899999617,2,47,1,1,14,2
109.787999999753,4,47,1,1,14,2
195.528299999751,1,48,0,1,20,1
123.617700000068,1,49,1,0,3,3
181.993600000169,1,50,0,0,20,4
297.704200000226,4,50,0,0,20,4
186.057599999913,4,51,0,1,14,4
103.033399999731,1,51,0,1,14,4
210.00819999972,4,52,1,1,15,1
355.128799999875,1,52,1,1,15,1
68.0770999997549,4,53,0,0,3,2
175.997199999983,3,53,0,0,3,2
138.015900000028,2,53,0,0,3,2
180.0630000007,1,53,0,0,3,2
266.005699999369,2,53,0,0,3,2
105.986900000062,3,54,1,0,14,3
252.811800000018,3,54,1,0,14,3
66.0202999997637,3,56,1,0,15,3
313.984499999606,4,57,0,0,3,4
174.77770000005,2,58,0,0,15,2
151.961499999743,2,59,1,0,20,2
234.097599999586,3,60,0,1,14,4
338.022699999783,4,60,0,1,14,4
