sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
4,1,Stimuli\scenes\practiceScenes\pexels-hakim-santoso-3634740.jpg,1,3295,/?,R,1,280,650,376,746,3,8,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-14495889.jpg,2,2792,/?,R,1,968,156,1064,252,1,18,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-10099319.jpg,3,1158,z,L,1,318,846,414,942,2,1,0,0
4,1,Stimuli\scenes\practiceScenes\077_L_filler_absent_footrest.jpg,4,1831,/?,R,1,1496,696,1592,792,2,10,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-keegan-checks-10117737.jpg,5,1797,/?,R,1,1532,956,1628,1052,2,1,0,0
4,1,Stimuli\scenes\practiceScenes\AdobeStock_142522611.jpeg,6,1828,/?,R,1,764,314,860,410,1,18,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5698015.jpg,7,1915,z,L,1,1784,686,1880,782,3,8,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-max-rahubovskiy-6969860.jpg,8,1182,/?,R,1,838,952,934,1048,2,10,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5353881.jpg,9,1286,/?,R,1,670,930,766,1026,2,1,0,0
4,1,Stimuli\scenes\practiceScenes\AdobeStock_490760493.jpeg,10,890,/?,R,1,306,600,402,696,3,8,0,0
4,1,Stimuli\scenes\practiceScenes\AdobeStock_283829914.jpeg,11,1262,/?,R,1,1088,238,1184,334,1,18,0,0
4,1,Stimuli\scenes\practiceScenes\075_L_filler_absent_light.jpg,12,1716,z,L,1,434,924,530,1020,2,10,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8583543.jpg,13,863,z,L,1,1582,886,1678,982,2,1,0,0
4,1,Stimuli\scenes\practiceScenes\079_L_filler_absent_bowl.jpg,14,899,/?,R,1,346,850,442,946,2,10,0,0
4,1,Stimuli\scenes\practiceScenes\AdobeStock_300087971.jpeg,15,1631,/?,R,1,1576,572,1672,668,3,8,0,0
4,1,Stimuli\scenes\practiceScenes\AdobeStock_67849508.jpeg,16,1021,z,L,1,864,468,960,564,1,18,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8186506.jpg,17,740,z,L,1,146,592,242,688,3,8,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-christa-grover-2001944.jpg,18,1049,z,L,1,118,816,214,912,2,1,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-pixabay-279648.jpg,19,807,/?,R,1,1086,854,1182,950,2,10,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5502249.jpg,20,2064,z,L,1,686,124,782,220,1,18,0,0
4,1,Stimuli\scenes\practiceScenes\AdobeStock_133612805.jpeg,21,1846,z,L,1,1540,610,1636,706,3,8,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-6510985.jpg,22,931,/?,R,1,640,968,736,1064,2,1,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-15062155.jpg,23,1230,z,L,1,1090,900,1186,996,2,10,0,0
4,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-3958951.jpg,24,1581,z,L,1,634,42,730,138,1,18,0,0
