sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5353881.jpg,1,884,/?,R,1,1238,476,1334,572,3,12,0,0
3,1,Stimuli\scenes\practiceScenes\AdobeStock_67849508.jpeg,2,2704,z,L,1,864,468,960,564,1,10,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-15062155.jpg,3,1253,/?,R,1,1090,900,1186,996,2,3,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-14495889.jpg,4,1844,z,L,1,968,156,1064,252,1,1,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-6510985.jpg,5,602,z,L,1,930,100,1026,196,1,10,0,0
3,1,Stimuli\scenes\practiceScenes\077_L_filler_absent_footrest.jpg,6,1526,z,L,1,72,380,168,476,1,1,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-keegan-checks-10117737.jpg,7,673,/?,R,1,948,550,1044,646,3,12,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-10099319.jpg,8,642,z,L,1,318,846,414,942,2,3,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8583543.jpg,9,1365,/?,L,0,1582,886,1678,982,2,3,0,0
3,1,Stimuli\scenes\practiceScenes\AdobeStock_133612805.jpeg,10,914,z,L,1,174,342,270,438,1,10,0,0
3,1,Stimuli\scenes\practiceScenes\079_L_filler_absent_bowl.jpg,11,981,z,R,0,64,280,160,376,1,1,0,0
3,1,Stimuli\scenes\practiceScenes\AdobeStock_300087971.jpeg,12,1194,z,L,1,1576,572,1672,668,3,12,0,0
3,1,Stimuli\scenes\practiceScenes\AdobeStock_283829914.jpeg,13,887,/?,L,0,1588,488,1684,584,3,12,0,0
3,1,Stimuli\scenes\practiceScenes\AdobeStock_142522611.jpeg,14,789,z,L,1,764,314,860,410,1,10,0,0
3,1,Stimuli\scenes\practiceScenes\AdobeStock_490760493.jpeg,15,995,z,L,1,1260,708,1356,804,2,3,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5698015.jpg,16,825,/?,R,1,390,66,486,162,1,1,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5502249.jpg,17,704,/?,R,1,492,856,588,952,2,3,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-max-rahubovskiy-6969860.jpg,18,899,/?,R,1,1276,474,1372,570,3,12,0,0
3,1,Stimuli\scenes\practiceScenes\075_L_filler_absent_light.jpg,19,944,/?,R,1,656,436,752,532,1,10,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-3958951.jpg,20,987,z,L,1,634,42,730,138,1,1,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-pixabay-279648.jpg,21,1308,/?,R,1,1086,854,1182,950,2,3,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-hakim-santoso-3634740.jpg,22,679,z,L,1,1196,318,1292,414,1,10,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8186506.jpg,23,1157,z,R,0,1398,398,1494,494,1,1,0,0
3,1,Stimuli\scenes\practiceScenes\pexels-christa-grover-2001944.jpg,24,1373,/?,R,1,1006,694,1102,790,3,12,0,0
