sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
90,5,Stimuli\scenes\mainScenes\AdobeStock_196997973.jpeg,1,1003,/?,R,1,1136,116,1241.6,221.6,1,15,0,0
90,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7028072.jpg,2,1084,z,L,1,124,630,229.6,735.6,3,14,0,0
90,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg,3,584,/?,L,0,1370,572,1475.6,677.6,2,3,0,1
90,5,Stimuli\scenes\mainScenes\pexels-alex-qian-2343467.jpg,4,888,/?,R,1,1202,910,1307.6,1015.6,2,20,0,1
90,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,5,716,z,L,1,384,404,489.6,509.6,3,14,0,0
90,5,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7587482.jpg,6,782,/?,R,1,438,562,543.6,667.6,3,3,1,1
90,5,Stimuli\scenes\mainScenes\AdobeStock_216902241.jpeg,7,1575,z,L,1,1698,222,1803.6,327.6,1,15,0,0
90,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg,8,896,/?,R,1,1612,834,1717.6,939.6,2,20,0,1
90,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg,9,1248,z,L,1,1566,180,1671.6,285.6,1,3,1,0
90,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027784.jpg,10,759,z,L,1,1608,920,1713.6,1025.6,2,20,0,1
90,5,Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg,11,1634,z,L,1,1540,508,1645.6,613.6,3,14,0,0
90,5,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg,12,1759,z,L,1,938,444,1043.6,549.6,1,15,0,1
90,5,Stimuli\scenes\mainScenes\AdobeStock_41005076.jpeg,13,1145,/?,R,1,48,390,153.6,495.6,1,3,1,1
90,5,Stimuli\scenes\mainScenes\pexels-curtis-adams-4839334.jpg,14,2540,/?,L,0,106,618,211.6,723.6,2,20,0,1
