sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_300087971.jpeg,1,1282,/?,R,1,1140,926,1236,1022,2,4,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5502249.jpg,2,1295,z,L,1,1428,492,1524,588,3,7,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5353881.jpg,3,1243,/?,R,1,110,456,206,552,1,20,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-hakim-santoso-3634740.jpg,4,762,/?,R,1,1050,550,1146,646,3,8,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8186506.jpg,5,828,z,R,0,944,570,1040,666,2,4,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_490760493.jpeg,6,811,z,L,1,1692,738,1788,834,3,7,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-6510985.jpg,7,1170,/?,L,0,930,100,1026,196,1,20,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-10099319.jpg,8,829,/?,R,1,630,536,726,632,3,8,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5698015.jpg,9,781,/?,R,1,290,786,386,882,3,7,0,0
49,1,Stimuli\scenes\practiceScenes\079_L_filler_absent_bowl.jpg,10,1665,/?,R,1,64,280,160,376,1,20,0,0
49,1,Stimuli\scenes\practiceScenes\075_L_filler_absent_light.jpg,11,1174,/?,R,1,434,924,530,1020,2,4,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-14495889.jpg,12,703,z,L,1,1094,794,1190,890,3,8,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-pixabay-279648.jpg,13,844,z,L,1,1124,370,1220,466,1,20,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-christa-grover-2001944.jpg,14,881,/?,R,1,118,816,214,912,2,4,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8583543.jpg,15,718,/?,R,1,1120,886,1216,982,3,7,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-max-rahubovskiy-6969860.jpg,16,1953,z,L,1,134,504,230,600,3,8,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_67849508.jpeg,17,1036,/?,R,1,1456,582,1552,678,3,7,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_133612805.jpeg,18,1058,z,L,1,1136,850,1232,946,2,4,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_142522611.jpeg,19,599,/?,R,1,764,314,860,410,1,20,0,0
49,1,Stimuli\scenes\practiceScenes\AdobeStock_283829914.jpeg,20,1474,/?,R,1,1588,488,1684,584,3,8,0,0
49,1,Stimuli\scenes\practiceScenes\077_L_filler_absent_footrest.jpg,21,1401,/?,R,1,1306,476,1402,572,3,7,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-15062155.jpg,22,1051,z,L,1,1156,568,1252,664,3,8,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-keegan-checks-10117737.jpg,23,821,z,L,1,1532,956,1628,1052,2,4,0,0
49,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-3958951.jpg,24,1144,/?,R,1,634,42,730,138,1,20,0,0
