sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
4,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,1,726,z,L,1,766,490,871.6,595.6,3,2,0,1
4,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027760.jpg,2,1050,/?,R,1,1500,922,1605.6,1027.6,2,7,0,1
4,2,Stimuli\scenes\mainScenes\pexels-mark-mccammon-1080721.jpg,3,768,/?,R,1,408,214,513.6,319.6,1,15,0,0
4,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg,4,878,/?,R,1,1370,572,1475.6,677.6,2,6,0,1
4,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4221389.jpg,5,907,/?,R,1,910,916,1015.6,1021.6,2,7,0,0
4,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956124.jpg,6,804,z,L,1,1148,914,1253.6,1019.6,2,2,1,1
4,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3935337.jpg,7,1532,z,R,0,948,188,1053.6,293.6,1,15,0,0
4,2,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,8,894,z,L,1,1518,362,1623.6,467.6,1,6,1,0
4,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6980568.jpg,9,769,/?,R,1,1012,942,1117.6,1047.6,2,7,0,1
4,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8031902.jpg,10,996,/?,R,1,308,188,413.6,293.6,1,15,0,0
4,2,Stimuli\scenes\mainScenes\pexels-level-media-3016430.jpg,11,1020,/?,R,1,912,662,1017.6,767.6,3,6,1,1
4,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg,12,1005,z,L,1,1352,594,1457.6,699.6,3,2,0,0
4,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4713243.jpg,13,890,z,L,1,1354,888,1459.6,993.6,2,7,0,1
4,2,Stimuli\scenes\mainScenes\pexels-keegan-checks-10117731.jpg,14,851,z,L,1,638,334,743.6,439.6,1,15,0,0
