sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
90,3,Stimuli\scenes\mainScenes\080_L_filler_absent_plant.jpg,1,2648,/?,R,1,158,514,263.6,619.6,3,3,1,0
90,3,Stimuli\scenes\mainScenes\073_L_filler_absent_coffeemug.jpg,2,1590,z,L,1,474,290,579.6,395.6,1,14,1,1
90,3,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158648.jpg,3,1269,z,L,1,262,222,367.6,327.6,1,15,0,0
90,3,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,4,1374,z,L,1,316,910,421.6,1015.6,2,20,0,1
90,3,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg,5,707,/?,R,1,500,758,605.6,863.6,2,3,0,0
90,3,Stimuli\scenes\mainScenes\pexels-curtis-adams-15409439.jpg,6,806,z,L,1,1042,496,1147.6,601.6,3,14,0,1
90,3,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-11315956.jpg,7,836,z,L,1,180,380,285.6,485.6,1,15,0,1
90,3,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027784.jpg,8,817,z,L,1,254,730,359.6,835.6,3,20,1,1
90,3,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,9,768,z,L,1,414,934,519.6,1039.6,2,3,0,0
90,3,Stimuli\scenes\mainScenes\041_L_filler_absent_fruit.jpg,10,1146,/?,R,1,1416,740,1521.6,845.6,3,15,1,0
90,3,Stimuli\scenes\mainScenes\AdobeStock_461935168.jpeg,11,733,z,L,1,806,602,911.6,707.6,2,20,0,1
90,3,Stimuli\scenes\mainScenes\pexels-get-lost-mike-10450051.jpg,12,663,/?,R,1,664,546,769.6,651.6,3,14,0,0
90,3,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg,13,2949,/?,R,1,254,206,359.6,311.6,1,15,0,0
90,3,Stimuli\scenes\mainScenes\022_L_filler_absent_lamp.jpg,14,961,/?,R,1,676,112,781.6,217.6,1,3,1,1
90,3,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg,15,922,/?,R,1,1332,544,1437.6,649.6,3,14,0,0
90,3,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601172.jpg,16,989,/?,R,1,1612,834,1717.6,939.6,2,20,0,1
90,3,Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg,17,1190,/?,R,1,218,470,323.6,575.6,1,14,1,0
90,3,Stimuli\scenes\mainScenes\pexels-curtis-adams-4713243.jpg,18,1014,/?,R,1,1354,888,1459.6,993.6,2,3,0,0
90,3,Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg,19,1541,/?,L,0,808,472,913.6,577.6,1,15,0,1
