sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583892.jpg,1,1060,/?,R,1,324,542,429.6,647.6,3,7,0,1
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4221389.jpg,2,713,/?,R,1,910,916,1015.6,1021.6,2,8,0,0
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,3,1429,/?,R,1,88,190,193.6,295.6,1,9,1,0
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062099.jpg,4,829,z,L,1,1092,414,1197.6,519.6,1,22,0,0
49,2,Stimuli\scenes\mainScenes\pexels-keegan-checks-10117731.jpg,5,597,/?,R,1,1290,548,1395.6,653.6,3,7,0,1
49,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8504308.jpg,6,917,z,L,1,1414,928,1519.6,1033.6,2,8,0,0
49,2,Stimuli\scenes\mainScenes\022_L_filler_absent_lamp.jpg,7,824,z,L,1,1278,626,1383.6,731.6,3,22,1,1
49,2,Stimuli\scenes\mainScenes\pexels-pixabay-534151.jpg,8,1407,/?,R,1,1068,524,1173.6,629.6,3,9,0,1
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,9,1636,z,L,1,246,756,351.6,861.6,3,7,0,1
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835079.jpg,10,709,/?,R,1,1010,910,1115.6,1015.6,2,8,0,0
49,2,Stimuli\scenes\mainScenes\AdobeStock_216902237.jpeg,11,1224,z,L,1,338,476,443.6,581.6,3,9,0,1
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3958964.jpg,12,944,/?,R,1,980,176,1085.6,281.6,1,22,0,0
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4258272.jpg,13,1586,/?,R,1,186,562,291.6,667.6,2,7,1,1
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3935337.jpg,14,581,/?,R,1,998,672,1103.6,777.6,2,9,1,0
49,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5502217.jpg,15,2751,z,R,0,110,724,215.6,829.6,2,8,0,0
