sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8583543.jpg,1,2163,/?,R,1,1582,886,1678,982,2,3,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-max-rahubovskiy-6969860.jpg,2,1989,z,L,1,1276,474,1372,570,3,14,0,0
90,1,Stimuli\scenes\practiceScenes\077_L_filler_absent_footrest.jpg,3,1573,/?,R,1,72,380,168,476,1,15,0,0
90,1,Stimuli\scenes\practiceScenes\AdobeStock_283829914.jpeg,4,829,z,L,1,1440,850,1536,946,2,20,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-christa-grover-2001944.jpg,5,1092,z,L,1,118,816,214,912,2,3,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-14495889.jpg,6,1896,/?,R,1,968,156,1064,252,1,15,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-keegan-checks-10117737.jpg,7,685,z,L,1,948,550,1044,646,3,14,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-10099319.jpg,8,1089,z,L,1,318,846,414,942,2,20,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-hakim-santoso-3634740.jpg,9,2360,z,L,1,896,922,992,1018,2,3,0,0
90,1,Stimuli\scenes\practiceScenes\AdobeStock_133612805.jpeg,10,1642,z,L,1,1540,610,1636,706,3,14,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-pixabay-279648.jpg,11,1869,z,L,1,1124,370,1220,466,1,15,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-3958951.jpg,12,1130,z,L,1,736,918,832,1014,2,20,0,0
90,1,Stimuli\scenes\practiceScenes\AdobeStock_490760493.jpeg,13,4226,/?,R,1,306,600,402,696,3,14,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-8186506.jpg,14,1235,z,L,1,944,570,1040,666,2,3,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-6510985.jpg,15,1554,/?,R,1,640,968,736,1064,2,20,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5502249.jpg,16,2608,z,L,1,686,124,782,220,1,15,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5698015.jpg,17,10800,/?,R,1,290,786,386,882,3,14,0,0
90,1,Stimuli\scenes\practiceScenes\075_L_filler_absent_light.jpg,18,1246,z,L,1,434,924,530,1020,2,3,0,0
90,1,Stimuli\scenes\practiceScenes\AdobeStock_300087971.jpeg,19,4521,/?,R,1,46,516,142,612,1,15,0,0
90,1,Stimuli\scenes\practiceScenes\AdobeStock_142522611.jpeg,20,3493,z,L,1,546,764,642,860,2,20,0,0
90,1,Stimuli\scenes\practiceScenes\079_L_filler_absent_bowl.jpg,21,1170,z,L,1,1674,786,1770,882,2,3,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-15062155.jpg,22,791,z,L,1,1090,900,1186,996,2,20,0,0
90,1,Stimuli\scenes\practiceScenes\AdobeStock_67849508.jpeg,23,1988,z,L,1,1456,582,1552,678,3,14,0,0
90,1,Stimuli\scenes\practiceScenes\pexels-curtis-adams-5353881.jpg,24,4556,z,L,1,110,456,206,552,1,15,0,0
