sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
3,2,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg,1,805,z,L,1,1128,738,1233.6,843.6,3,9,0,0
3,2,Stimuli\scenes\mainScenes\pexels-skitterphoto-349749.jpg,2,1028,z,L,1,1198,436,1303.6,541.6,1,1,0,0
3,2,Stimuli\scenes\mainScenes\pexels-alex-qian-2343467.jpg,3,1217,z,L,1,236,870,341.6,975.6,3,21,1,0
3,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg,4,1287,/?,R,1,1028,938,1133.6,1043.6,2,15,0,1
3,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8504308.jpg,5,1922,/?,R,1,1674,314,1779.6,419.6,1,21,1,1
3,2,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-8363713.jpg,6,1126,z,L,1,678,920,783.6,1025.6,2,15,0,0
3,2,Stimuli\scenes\mainScenes\AdobeStock_479119675.jpeg,7,872,z,L,1,336,538,441.6,643.6,3,9,0,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900806.jpg,8,1438,/?,R,1,406,310,511.6,415.6,1,1,0,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583875.jpg,9,573,z,L,1,766,578,871.6,683.6,3,9,0,0
3,2,Stimuli\scenes\mainScenes\pexels-terry-magallanes-3623785.jpg,10,1382,z,L,1,350,642,455.6,747.6,3,21,1,0
3,2,Stimuli\scenes\mainScenes\pexels-pixabay-534151.jpg,11,799,/?,R,1,1278,696,1383.6,801.6,2,15,0,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027760.jpg,12,648,z,L,1,74,374,179.6,479.6,1,1,0,0
3,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7005450.jpg,13,789,z,L,1,1034,802,1139.6,907.6,2,21,0,0
3,2,Stimuli\scenes\mainScenes\pexels-jesse-bannister-7033835.jpg,14,695,z,L,1,418,370,523.6,475.6,1,1,0,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,15,824,z,R,0,1268,412,1373.6,517.6,3,15,1,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4682110.jpg,16,718,z,L,1,386,500,491.6,605.6,3,9,0,1
3,2,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-3753437.jpg,17,776,z,L,1,1088,218,1193.6,323.6,1,1,0,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835079.jpg,18,1146,/?,R,1,1010,910,1115.6,1015.6,2,21,0,0
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062094.jpg,19,1238,z,L,1,340,892,445.6,997.6,2,15,0,0
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7028072.jpg,20,1100,z,L,1,1610,792,1715.6,897.6,3,9,0,1
3,2,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158648.jpg,21,1653,/?,R,1,262,222,367.6,327.6,1,21,1,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,22,841,/?,R,1,246,756,351.6,861.6,3,1,1,0
3,2,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17181942.jpg,23,854,z,L,1,576,920,681.6,1025.6,2,15,0,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601072.jpg,24,1732,z,L,1,462,522,567.6,627.6,3,9,0,0
3,2,Stimuli\scenes\mainScenes\AdobeStock_461935168.jpeg,25,1933,z,L,1,806,602,911.6,707.6,2,21,0,0
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4119833.jpg,26,1328,/?,R,1,732,540,837.6,645.6,3,1,1,0
3,2,Stimuli\scenes\mainScenes\AdobeStock_216902237.jpeg,27,2179,/?,L,0,1730,678,1835.6,783.6,2,15,0,1
3,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956843.jpg,28,842,/?,R,1,568,508,673.6,613.6,3,9,0,1
3,2,Stimuli\scenes\mainScenes\AdobeStock_27579147.jpeg,29,1955,/?,R,1,1454,832,1559.6,937.6,2,21,0,0
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008398.jpg,30,1502,/?,R,1,1586,490,1691.6,595.6,3,1,1,1
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg,31,1368,/?,R,1,246,630,351.6,735.6,3,9,0,0
3,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6489116.jpg,32,2638,/?,R,1,214,912,319.6,1017.6,2,15,0,1
3,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061668.jpg,33,1364,z,L,1,1488,510,1593.6,615.6,3,9,0,1
3,2,Stimuli\scenes\mainScenes\pexels-ryan-donnelly-100575.jpg,34,1358,z,L,1,198,882,303.6,987.6,2,21,0,0
3,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7061393.jpg,35,938,/?,R,1,982,884,1087.6,989.6,2,15,0,0
3,2,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-11315956.jpg,36,2372,/?,R,1,864,288,969.6,393.6,1,1,0,0
3,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4800177.jpg,37,921,z,L,1,88,656,193.6,761.6,3,21,1,1
3,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7018399.jpg,38,1458,/?,R,1,1292,936,1397.6,1041.6,2,15,0,1
3,2,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,39,1016,z,L,1,1320,526,1425.6,631.6,3,1,1,0
3,2,Stimuli\scenes\mainScenes\073_L_filler_absent_coffeemug.jpg,40,2979,/?,R,1,616,604,721.6,709.6,3,9,0,1
