sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027760.jpg,1,557,/?,L,0,860,732,965.6,837.6,2,3,0,1
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583875.jpg,2,599,z,L,1,368,96,473.6,201.6,1,15,0,0
90,4,Stimuli\scenes\mainScenes\pexels-jesse-bannister-7033835.jpg,3,1637,z,L,1,1618,522,1723.6,627.6,3,14,0,1
90,4,Stimuli\scenes\mainScenes\pexels-terry-magallanes-3623785.jpg,4,883,/?,R,1,1070,902,1175.6,1007.6,2,20,0,0
90,4,Stimuli\scenes\mainScenes\pexels-get-lost-mike-10450051.jpg,5,967,z,L,1,1450,660,1555.6,765.6,3,3,1,0
90,4,Stimuli\scenes\mainScenes\pexels-pixabay-534151.jpg,6,2848,/?,R,1,170,656,275.6,761.6,3,14,0,0
90,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6980568.jpg,7,1566,/?,R,1,1012,942,1117.6,1047.6,2,20,0,1
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-4839334.jpg,8,1136,z,L,1,1398,496,1503.6,601.6,3,15,1,1
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027786.jpg,9,802,z,L,1,656,468,761.6,573.6,1,15,0,1
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062094.jpg,10,1017,/?,R,1,340,892,445.6,997.6,2,14,1,0
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900806.jpg,11,1009,z,L,1,1744,854,1849.6,959.6,2,3,0,0
90,4,Stimuli\scenes\mainScenes\pexels-denys-gromov-4716789.jpg,12,544,z,L,1,918,534,1023.6,639.6,2,20,0,0
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,13,913,/?,R,1,1614,792,1719.6,897.6,3,3,1,1
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,14,558,z,L,1,766,490,871.6,595.6,3,14,0,1
90,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg,15,800,z,L,1,1028,938,1133.6,1043.6,2,20,0,1
90,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,16,960,z,L,1,360,304,465.6,409.6,1,15,0,0
90,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg,17,562,z,L,1,730,454,835.6,559.6,1,15,0,0
90,4,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,18,1156,z,L,1,1320,526,1425.6,631.6,3,14,0,1
90,4,Stimuli\scenes\mainScenes\pexels-gustavo-galeano-maz-11315956.jpg,19,1120,/?,R,1,914,950,1019.6,1055.6,2,3,0,1
