sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0
90,2,Stimuli\scenes\mainScenes\pexels-alex-qian-2343467.jpg,1,873,z,L,1,1202,910,1307.6,1015.6,2,15,1,1
90,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6312077.jpg,2,849,z,R,0,488,900,593.6,1005.6,2,3,0,1
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008398.jpg,3,1426,/?,R,1,138,84,243.6,189.6,1,14,1,0
90,2,Stimuli\scenes\mainScenes\pexels-sharath-g-4722305.jpg,4,1128,/?,R,1,422,960,527.6,1065.6,2,20,0,0
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601072.jpg,5,659,/?,R,1,590,926,695.6,1031.6,2,3,0,1
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5353944.jpg,6,1233,z,L,1,1550,928,1655.6,1033.6,2,20,0,0
90,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6969864.jpg,7,728,z,L,1,1156,476,1261.6,581.6,3,14,0,1
90,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956124.jpg,8,1329,z,L,1,594,282,699.6,387.6,1,15,0,0
90,2,Stimuli\scenes\mainScenes\AdobeStock_41005076.jpeg,9,931,/?,R,1,1530,528,1635.6,633.6,3,15,1,1
90,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7005450.jpg,10,773,/?,R,1,1034,802,1139.6,907.6,2,3,0,1
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,11,1157,/?,R,1,950,260,1055.6,365.6,1,20,1,0
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,12,835,z,L,1,280,684,385.6,789.6,3,14,0,0
90,2,Stimuli\scenes\mainScenes\pexels-jesse-bannister-7033835.jpg,13,1490,/?,R,1,284,696,389.6,801.6,2,3,0,1
90,2,Stimuli\scenes\mainScenes\AdobeStock_479119675.jpeg,14,998,z,L,1,606,898,711.6,1003.6,2,20,0,0
90,2,Stimuli\scenes\mainScenes\AdobeStock_216902241.jpeg,15,1015,z,L,1,1698,222,1803.6,327.6,1,15,0,0
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062099.jpg,16,694,z,L,1,538,582,643.6,687.6,3,14,0,1
90,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7214338.jpg,17,1155,z,R,0,1334,944,1439.6,1049.6,2,3,0,1
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027760.jpg,18,1093,z,L,1,562,838,667.6,943.6,3,15,1,0
90,2,Stimuli\scenes\mainScenes\pexels-keegan-checks-10117731.jpg,19,4040,z,R,0,1154,932,1259.6,1037.6,2,20,0,0
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8186477.jpg,20,833,/?,R,1,336,888,441.6,993.6,3,14,0,1
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4469155.jpg,21,1000,/?,R,1,1694,482,1799.6,587.6,1,15,0,1
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027786.jpg,22,996,/?,R,1,290,744,395.6,849.6,3,14,0,0
90,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7031868.jpg,23,924,z,L,1,1094,70,1199.6,175.6,1,3,1,1
90,2,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17181942.jpg,24,811,z,L,1,576,920,681.6,1025.6,2,20,0,0
90,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6782481.jpg,25,904,/?,R,1,564,896,669.6,1001.6,3,3,1,1
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5008407.jpg,26,1004,/?,R,1,774,192,879.6,297.6,1,15,0,0
90,2,Stimuli\scenes\mainScenes\pexels-mark-mccammon-2724749.jpg,27,840,z,L,1,1382,918,1487.6,1023.6,2,20,0,1
90,2,Stimuli\scenes\mainScenes\pexels-terry-magallanes-3623785.jpg,28,2375,z,L,1,1518,212,1623.6,317.6,1,14,1,0
90,2,Stimuli\scenes\mainScenes\AdobeStock_196997973.jpeg,29,845,/?,R,1,442,936,547.6,1041.6,2,3,0,0
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4119833.jpg,30,815,z,L,1,1136,200,1241.6,305.6,1,15,0,1
90,2,Stimuli\scenes\mainScenes\AdobeStock_27579147.jpeg,31,1905,z,L,1,324,816,429.6,921.6,2,20,0,0
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583875.jpg,32,654,z,L,1,766,578,871.6,683.6,3,14,0,1
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,33,1055,z,L,1,864,72,969.6,177.6,1,15,0,0
90,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-4800177.jpg,34,1588,/?,R,1,1478,692,1583.6,797.6,3,14,0,1
